id,name,linkedin_url,location,company,title,seniority,function,segment,specialism,category,evidence,source_url,fit_score,confidence,notes
"CRSA-001","Jonathan Abrahams","https://za.linkedin.com/in/jonathan-abrahams-74aa10b0","City of Cape Town, Western Cape, South Africa","TFG (The Foschini Group)","Credit Risk Analyst","Analyst","Credit Risk; Credit Analytics","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at TFG in Cape Town.","https://za.linkedin.com/in/jonathan-abrahams-74aa10b0","9","High",""
"CRSA-002","Londiwe Manqele","https://za.linkedin.com/in/londiwe-manqele-b9058550","Cape Town, Western Cape, South Africa","Truworths","Senior Credit Risk Analyst","Senior Analyst","Credit Risk; Credit Analytics","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Truworths; prior Capfin senior credit risk.","https://za.linkedin.com/in/londiwe-manqele-b9058550","9","High",""
"CRSA-003","Nivendra Pillay","https://za.linkedin.com/in/nivendra-pillay-76b68578","City of Johannesburg, Gauteng, South Africa","African Bank","Credit Risk Manager / Data Analytics / Credit Scoring / Impairments","Manager","Credit Risk; Credit Analytics; Scorecards; IFRS 9 / Impairments","Bank / unsecured lender","Credit scoring; impairments; credit risk management","Manager","Indexed LinkedIn result states data analytics, credit scoring, impairments and credit risk management at African Bank.","https://za.linkedin.com/in/nivendra-pillay-76b68578","9","High",""
"CRSA-004","Thabo Rataele","https://za.linkedin.com/in/thabo-rataele-2052b581","City of Cape Town, Western Cape, South Africa","Needs verification","Quantitative Risk Analyst","Analyst","Risk Analytics; Credit Analytics; IFRS 9 / Impairments","Financial services","Credit risk modelling; ECL analytics","Analyst","Indexed LinkedIn result states Quantitative Risk Analyst with credit risk modelling, IFRS 9, ECL analytics.","https://za.linkedin.com/in/thabo-rataele-2052b581","8","Medium","Current company requires manual verification."
"CRSA-005","Ntsako Baloyi","https://za.linkedin.com/in/ntsako-baloyi-621658217","South Africa","365 Finance","Credit Risk Analyst","Analyst","Credit Risk","Fintech lending / non-bank lender","Consumer credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at 365 Finance.","https://za.linkedin.com/in/ntsako-baloyi-621658217","8","High",""
"CRSA-006","Wayne S.","https://za.linkedin.com/in/waynestander","City of Cape Town, Western Cape, South Africa","TFG (The Foschini Group)","Senior Credit Risk Analyst","Senior Analyst","Credit Risk; Decision Science","Retail credit","Retail credit decisioning; credit analytics","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at TFG and prior Credit Risk Analyst - Decision Science at RCS.","https://za.linkedin.com/in/waynestander","9","High",""
"CRSA-007","Dr. Nico Kritzinger","https://za.linkedin.com/in/dr-nico-kritzinger-7b8b8910","South Africa","Needs verification","Credit Scorecards / Credit Analytics / Credit Modelling Specialist","Consultant","Scorecards; Credit Analytics; Credit Modelling","Analytics vendor / consulting","Credit scorecards; credit modelling","Consultant","Indexed LinkedIn result states PhD, Credit Scorecards, Credit Analytics, Credit Modelling and Credit Risk Management.","https://za.linkedin.com/in/dr-nico-kritzinger-7b8b8910","8","Medium","Company/current title requires manual verification."
"CRSA-008","S'busiso Ndlovu","https://za.linkedin.com/in/s-busiso-ndlovu-1887b6122","South Africa","Land and Agricultural Development Bank of South Africa","Manager: Quantitative Credit Risk / Credit Risk Specialist","Manager","Quantitative Credit Risk; IFRS 9","Bank / development finance","IFRS 9 credit risk quantitative analysis; model recalibration","Manager","Indexed LinkedIn result states Manager Quantitative Credit Risk and IFRS 9 credit risk quantitative analysis.","https://za.linkedin.com/in/s-busiso-ndlovu-1887b6122","9","High",""
"CRSA-009","Raymond Anderson","https://za.linkedin.com/in/raymondanderson","South Africa","Rayan Risk Analytics / Independent","Credit Scoring Specialist and Consultant","Consultant","Credit Scoring; Credit Risk","Consulting / analytics","Credit scoring; retail banking credit risk","Consultant","Indexed LinkedIn result states credit scoring specialist and author with four decades of retail banking credit risk experience.","https://za.linkedin.com/in/raymondanderson","8","High",""
"CRSA-010","Brian Gritzman, CFA","https://za.linkedin.com/in/briangritzman","City of Johannesburg, Gauteng, South Africa","Needs verification","IFRS 9 / Credit Risk Frameworks Specialist","Senior Analyst","IFRS 9 / Impairments; Basel / Regulatory Credit Risk","Financial services","Capital adequacy; credit risk; IFRS 9 frameworks","Analyst","Indexed LinkedIn result states support across capital adequacy, credit risk and IFRS 9 frameworks.","https://za.linkedin.com/in/briangritzman","7","Medium","Current company/title requires manual verification."
