company_name	sector	subsector	wc_footprint	operational_overlap	evidence_basis	source_url
Afrimat	Construction materials & mining	Aggregates, readymix, lime, industrial minerals	Multiple WC quarries/sites incl. Durbanville, Cape Town, West Coast, Overberg, Breede Valley	Very high	Confirmed public evidence	https://www.afrimat.co.za/
AfriSam	Construction materials	Aggregates / quarry	Peninsula Quarry; Rheebok/Malmesbury	Very high	Confirmed public evidence	https://www.afrisam.co.za/
PPC	Construction materials	Cement / quarry	De Hoek and Riebeeck, Western Cape	Very high	Confirmed public evidence	https://www.ppc.africa/
Portland Group	Construction materials	Quarry, aggregates, readymix, hollowcore	Durbanville / Malmesbury	Very high	Confirmed public evidence	https://portland.co.za/quarry/
Ciolli Bros	Construction materials	Quarry / aggregates	Gran Sasso Quarry, Contermanskloof/Potsdam	Very high	Confirmed public evidence	https://ciollibros.co.za/
SPH Kundalila	Mining / materials	Contract mining / sand / quarry	Malmesbury and Saldanha evidence via ASPASA	Very high	Confirmed public evidence	https://aspasa.co.za/
Megamix	Construction materials	Ready-mix concrete	Multiple batching plants across Cape Town / Overberg	Very high	Confirmed public evidence	https://megamix.co.za/
Métier Mixed Concrete	Construction materials	Ready-mix concrete	Western Cape / Cape Town expansion footprint	Very high	Confirmed public evidence	https://metier.co.za/
Much Asphalt	Construction materials	Asphalt manufacturing	Western Cape / Cape Town	Very high	Confirmed public evidence	https://muchasphalt.com/about-us/group-overview/
SprayPave	Construction materials	Road surfacing / bitumen	Cape Town; Much Asphalt group	Very high	Confirmed public evidence	https://muchasphalt.com/about-us/group-overview/
Cape Concrete Works	Construction materials	Precast concrete	Cape Town	Very high	Confirmed public evidence	https://www.cma.org.za/Precast-floor-slab-CMA-producer-members
TopFloor	Construction materials	Precast hollowcore	Western Cape	High	Confirmed public evidence	https://topfloor.co.za/
Mobicast	Construction materials	Precast concrete products	George / Southern Cape	High	Confirmed public evidence	https://www.cma.org.za/
Fick Sementwerke	Construction materials	Concrete bricks / blocks	Western Cape	High	Confirmed public evidence	https://www.cma.org.za/
Lategan Sementwerke	Construction materials	Concrete bricks / blocks	Western Cape	High	Confirmed public evidence	https://www.cma.org.za/
CAPECAST	Construction materials	Precast paving / concrete products	Western Cape	High	Confirmed public evidence	https://capecast.co.za/
Apollo Brick (Atlantis)	Construction materials	Clay brick / masonry	Atlantis	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Bredasdorp Steenwerke	Construction materials	Clay brick / masonry	Bredasdorp	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Cabrico	Construction materials	Clay brick / masonry	Somerset West	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Klay	Construction materials	Clay brick / masonry	Cape Town	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Corobrik Lansdowne	Construction materials	Clay brick / masonry	Cape Town	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
De Hoop Steenwerwe	Construction materials	Clay brick / masonry	Paarl	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Johnson's Bricks	Construction materials	Clay brick / masonry	Oudtshoorn	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Kurlandbrik	Construction materials	Clay brick / masonry	Plettenberg Bay	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Namakwa Kleistene	Construction materials	Clay brick / masonry	Klawer	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Naude Bakstene	Construction materials	Clay brick / masonry	Worcester	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Spitskop Steenwerke	Construction materials	Clay brick / masonry	Riversdale	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Worcester Bakstene	Construction materials	Clay brick / masonry	Worcester	High	Confirmed public evidence	https://claybrick.org/brick-suppliers-by-region-2/
Sika South Africa	Construction chemicals	Concrete admixtures / construction systems	Montague Gardens, Cape Town	High	Confirmed public evidence	https://zaf.sika.com/en/about-us/contact-us/Branches-in-South-Africa.html
Chryso Southern Africa	Construction chemicals	Cement / concrete admixtures	Beaconvale, Cape Town	High	Confirmed public evidence	https://za.chryso.com/contact/
Saint-Gobain Gyproc	Building products	Gypsum / boards / plasters	Parow Industria, Cape Town	High	Confirmed public evidence	https://www.gyproc.co.za/contact
Safintra South Africa	Building products	Roofing / cladding	Brackenfell, Cape Town	High	Confirmed public evidence	https://www.safintra.co.za/contact-us/
Tronox Namakwa Sands	Mining & minerals	Mineral sands mining / processing / smelting	Brand-se-Baai / Saldanha	Very high	Confirmed public evidence	https://www.tronox.com/operations/namakwa-sands-south-africa/
Kropz Elandsfontein	Mining & minerals	Phosphate mine / processing	West Coast near Saldanha	Very high	Confirmed public evidence	https://kropz.com/elandsfontein/
