company_id,canonical_company_name,Executive Finance,Head of Finance,Financial Management,Financial Control,Finance Business Partner,FP&A,Group Accounting,Financial Accounting,Management/Cost Accounting,Commercial Finance,Treasury/Tax,Project/Asset Finance,Systems/Transformation,overall_status,notes
cmp-0076,Quantum Foods Ltd,André Hugo Muller (Chief Financial Officer / Financial Director & Executive Director),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0077,Novus Holdings Ltd (formerly Paarl Media Group),Kim Julies (Group Chief Financial Officer & Executive Director) | Craig Wright (CEO of Print & Packaging and Executive Director (former Group CFO)) | Keshree Alwar (CEO: Maskew Miller Learning & Executive Director (former Group CFO)),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_3_PEOPLE,Level 1 - Very Strong
cmp-0078,Food Lover's Market,Yolanda Louw (Chief Financial Officer),NOT FOUND YET,JP du Toit (Group Finance Manager),MC Stoman (Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,3/13 families; MAPPED_3_PEOPLE,Level 1 - Very Strong
cmp-0079,Ecowize (Southern Africa) / Ecowize Group,Duane Moore (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0080,Anchor Industries (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong
cmp-0081,Fruit & Veg City / Freshstop,Yolanda Louw (Chief Financial Officer),NOT FOUND YET,JP du Toit (Group Finance Manager),MC Stoman (Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,3/13 families; MAPPED_3_PEOPLE,Level 1 - Very Strong
cmp-0082,RMS Shopfitting (Pty) Ltd,"Andre Tancred (Finance Director / Director, Finance)",NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0083,Geiger & Klotzbucher (Pty) Ltd,NOT FOUND YET,NOT FOUND YET,"Willie Robbertse (Financial and Logistics Manager / Manager, Financial & Logistics)",NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,1/13 families; MAPPED_1_PEOPLE,Level 1 - Very Strong
cmp-0084,Atlantis Special Economic Zone (Pty) Ltd (ASEZ / ASEZCo),Waheeda Saib (Chief Financial Officer),NOT FOUND YET,NOT FOUND YET,Saadiqa Dangor (Financial Controller),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,2/13 families; MAPPED_2_PEOPLE,Level 1 - Very Strong
cmp-0085,Mason's Clothing (Mason / Mass Clothing),NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,NOT FOUND YET,0/13 families; NO_VERIFIED_PEOPLE_YET_GAP_LOGGED,Level 1 - Very Strong (product); location unconfirmed
