raw_title,title_family,company_context,notes,date_logged
Chief Financial Officer / Financial Director & Executive Director,Executive Finance,Quantum Foods Ltd,"JSE listed poultry, dual title CFO/FD/ED",2026-09-22
Group Chief Financial Officer & Executive Director,Executive Finance,Novus Holdings Ltd,"Group CFO + ED, effective 1 Jan 2026",2026-09-22
CEO of Print & Packaging and Executive Director (former Group CFO),Executive Finance,Novus Holdings Ltd,Former Group CFO retained as divisional CEO,2026-09-22
CEO: Maskew Miller Learning & Executive Director (former Group CFO),Executive Finance,Novus Holdings Ltd,Former Group CFO promoted to subsidiary CEO,2026-09-22
Chief Financial Officer,Executive Finance,Food Lover's Market Holdings / SAQA / TCTA / CTICC / Competition Tribunal / NAMC etc,Most common executive finance title across IB,2026-09-22
Group Finance Manager,Financial Management,Food Lover's Market Holdings,Group FM reporting to CFO,2026-09-22
Financial Controller,Financial Control,Food Lover's Market Holdings / Atlantis SEZ / Radisson Blu Waterfront / Samsonite,Standard controller title,2026-09-22
"Finance Director / Director, Finance",Executive Finance,RMS Shopfitting,Director-level finance,2026-09-22
Financial and Logistics Manager,Financial Management,Geiger & Klotzbucher,Combined finance & logistics,2026-09-22
Chief Financial Officer,Executive Finance,Atlantis Special Economic Zone Company,"Public entity CFO, CA(SA) 20yrs",2026-09-22
Financial Manager,Financial Management,REFSOLS,FM quoted on Sage 300 deployment 2013,2026-09-22
Group Financial Director,Executive Finance,Workforce Holdings Ltd,"Listed staffing group FD, CA(SA)",2026-09-22
Finance Controller,Financial Control,Samsonite Southern Africa,Consumer goods finance controller,2026-09-22
Financial Operations Manager,Financial Management,Inala Broadcast,Ops & Finance combined,2026-09-22
Financial Controller (Cluster),Financial Control,Radisson Hotel Group,Cluster FC managing two hotels,2026-09-22
General Manager Finance,Financial Management,Fidelity ADT / ADT SA,Security services finance lead,2026-09-22
Head of Finance,Head of Finance,Hisense South Africa,Electronics head of finance,2026-09-22
Head of Treasury,Treasury/Tax,Retail Capital,SME funding treasury head,2026-09-22
Financial Controller at Freshstop Head Office,Financial Control,Freshstop / Fruit & Veg City group,"Reports to Finance Business Partner, Brackenfell HO — role exists, no named person in current evidence",2026-09-22
