Sector,Company,Claim,Source URL,Evidence Type,Date Accessed,Confidence,Notes
"Insurance","Momentum/Metropolitan","Azure (primary), AWS (secondary)","https://www.myjobmag.co.za/job/senior-azure-cloud-engineer-momentum-metropolitan-holdings-limited","Inferred","2026-06-23","High",""
"Insurance","Momentum/Metropolitan","AWS EKS (secondary)","https://www.myjobmag.co.za/job/senior-full-stack-developer-java-platform-engineering-momentum-metropolitan-holdings-limited","Inferred","2026-06-23","High",""
"Insurance","Momentum/Metropolitan","Java 21, Spring Boot, React, Angular","https://www.myjobmag.co.za/job/senior-full-stack-developer-java-platform-engineering-momentum-metropolitan-holdings-limited","Inferred","2026-06-23","High",""
"Insurance","Momentum/Metropolitan","Azure ML, AWS SageMaker, Databricks, MLflow, Airflow","https://www.myjobmag.co.za/job/tech-lead-java-developer-api-capability-momentum-metropolitan-holdings-limited","Inferred","2026-06-23","High",""
"Insurance","Momentum/Metropolitan","Multi-cloud (AWS+Azure) Cloud Architect role","https://za.simplyhired.com/job/KlcqM3qa0VABlb2r416vWhUFJobvSQAx4a0FY2nSJ7snkHrXW1ECNw","Inferred","2026-06-23","High",""
"Insurance","Liberty Group","AWS (primary), Azure, GCP","https://www.myjobmag.co.za/jobs/exciting-careers-at-liberty-group-south-africa","Inferred","2026-06-23","High",""
"Insurance","Liberty Group","Python, PySpark, Java, C#","https://www.myjobmag.co.za/jobs/exciting-careers-at-liberty-group-south-africa","Inferred","2026-06-23","High",""
"Insurance","Liberty Group","AWS Glue, StepFunctions, Redshift, Lambda, Athena, Lake Formation, EMR","https://www.myjobmag.co.za/jobs/open-positions-at-liberty-group-south-africa-2","Inferred","2026-06-23","High",""
"Insurance","Liberty Group","AWS AI/ML, Azure OpenAI, GCP AI; Microsoft Copilot","https://www.myjobmag.co.za/jobs/exciting-careers-at-liberty-group-south-africa","Inferred","2026-06-23","High",""
"Insurance","Liberty Group","Liberty is part of Standard Bank Group","https://www.liberty.co.za/careers","Direct","2026-06-23","High",""
"Insurance","Hollard Insurance","Azure (primary)","https://bitscale.ai/directory/hollard-insurance","Inferred","2026-06-23","High",""
"Insurance","Hollard Insurance","Azure OpenAI, Azure ML, Microsoft AI Agent Services","https://www.outsystems.com/case-studies/hollard-ai-innovation","Direct","2026-06-23","High","Azure AI inferred"
"Insurance","Hollard Insurance","Python/Django, C#/.NET","https://www.myjobmag.co.za/job/senior-cloud-data-engineer-hollard-insurance","Inferred","2026-06-23","High",""
"Insurance","Hollard Insurance","Lumkani IoT (AWS CloudFront/S3/EC2)","","Inferred","","High","URL not found"
"Insurance","Santam Insurance","Guidewire Cloud Platform (core insurance)","https://www.businesswire.com/news/home/20260609684114/en/Santam-Goes-Live-on-Guidewire-Laying-Foundation-for-AI-Driven-Insurance-Innovation-in-South-Africa","Direct","2026-06-23","High",""
"Insurance","Santam Insurance","Full insurance platform cloud migration completed","https://it-online.co.za/2026/04/30/santam-migrates-insurance-platform-to-the-cloud","Direct","2026-06-23","High",""
"Insurance","Santam Insurance","7-year Future Fit strategy, CIO Sam Nkosi","https://www.moonstone.co.za/santam-shifts-core-insurance-systems-to-the-cloud","Direct","2026-06-23","High",""
"Insurance","Santam Insurance","Guidewire PolicyCenter, ClaimCenter, DataHub, InfoCenter","https://www.guidewire.com/customers/success-stories/santam","Direct","2026-06-23","High",""
"Mining","Glencore SA","Azure primary cloud","https://za.simplyhired.com/job/p89-RR1ZQGgAzZC5piUqyR23Vm6GbY_TQVAUNRDOWgyINbtMSrIV9A","Inferred","2026-06-23","Medium-High",""
"Mining","Glencore SA","Python, Bash, PowerShell","https://za.simplyhired.com/job/p89-RR1ZQGgAzZC5piUqyR23Vm6GbY_TQVAUNRDOWgyINbtMSrIV9A","Inferred","2026-06-23","Medium-High",""
"Mining","Glencore SA","AKS, Terraform, Ansible, Docker, K8s, GitHub Actions","https://za.simplyhired.com/job/p89-RR1ZQGgAzZC5piUqyR23Vm6GbY_TQVAUNRDOWgyINbtMSrIV9A","Inferred","2026-06-23","Medium-High",""
