company_id,canonical_company_name,trading_name,parent_group,subsidiary_of,known_aliases,company_linkedin_url,website,country,province,city_or_sites,industry_family,sub_industry,business_description,company_status,sage300_status,evidence_urls,verification_status,research_status
cmp-0076,Quantum Foods Ltd,Quantum Foods Ltd,,,Quantum Foods (Pty) Ltd (JSE: QRF),,,South Africa,Western Cape,"Wellington (HQ); operations Zambia, Uganda, Mozambique",Agriculture / Food Manufacturing,Poultry / food manufacturing & agriculture,Poultry / food manufacturing & agriculture,publicly_known_operating,Level 1 - Very Strong,https://tydeco.com/success_story/quantum-foods-connects-african-operations/ | https://www.itweb.co.za/article/quantum-foods-relies-on-sage-300-for-its-african-operations/6GxRKqY8RVBMb3Wj | https://www.awcape.co.za/sage-300cloud/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0077,Novus Holdings Ltd (formerly Paarl Media Group),Novus Holdings Ltd,,,Novus Holdings Ltd (JSE: NVS),,,South Africa,Western Cape,"Head office 10 & 26 Freedom Way, Montague Gardens, Cape Town 7441; 5 Lynx Road, Paarden Eiland 7405; plants Paarden Eiland/Milnerton, Port Elizabeth, City Deep JHB, Linbro Park, Sebenza, Bloemfontein, Durban North, Isithebe",Manufacturing,"Commercial printing, labels, flexible packaging, tissue","Commercial printing, labels, flexible packaging, tissue",publicly_known_operating,Level 1 - Very Strong,https://tydeco.com/success_story/novus-holdings-unifies-procurement-workflow/ | https://za.linkedin.com/company/novusholdings | https://novus.holdings/contact/ | https://www.itweb.co.za/article/ecowize-boosts-business-efficiency-by-migrating-to-sage-300/RWnpNgq26GDqVrGd,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_3_PEOPLE
cmp-0078,Food Lover's Market,Food Lover's Market,,,The Food Lover's Market (Pty) Ltd,,,South Africa,Western Cape,"Cape Town head office; stores national incl. George, Mossel Bay, Hermanus, N1 City Goodwood",Retail,Food retail / independent supermarket wholesale group,Food retail / independent supermarket wholesale group,publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/content/LPp6VMr4KZLvDKQz | https://www.awcape.co.za/sage-300cloud/ | https://www.awcape.co.za/sage-intacct/,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_3_PEOPLE
cmp-0079,Ecowize (Southern Africa) / Ecowize Group,Ecowize,,,Ecowize Group incl. EHPS (Ecowize High Performance Systems),,,South Africa,Western Cape,"Finance team Milnerton / Century City, Cape Town; 80+ operational sites nationally",Business Services,"Hygiene, sanitation and food-safety services","Hygiene, sanitation and food-safety services",publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/ecowize-boosts-business-efficiency-by-migrating-to-sage-300/RWnpNgq26GDqVrGd | https://www.myjobmag.co.za/job/group-financial-accountant-milnerton-century-city-ecowize-group-1 | https://www.myjobmag.co.za/job/group-accountant-milnerton-century-city-ecowize-group | https://www.pnet.co.za/jobs/sage-300/in-western-cape,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0080,Anchor Industries (Pty) Ltd,Anchor Industries,,,Anchor Industries (Pty) Ltd; related Anchor Chandling,,,South Africa,Western Cape,"Anchor House, 20 Old Mill Road, Ndabeni, Cape Town 7405 (HQ); postal PO Box 159, Paarden Eiland 7420; branches Durban, PE and main centres nationally",Engineering / Industrial,"Lifting, rigging, offshore mooring and marine engineering equipment/services","Lifting, rigging, offshore mooring and marine engineering equipment/services",publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/sage-300cloud-provides-solid-platform-to-anchor-industries/JBwErvnBpnxv6Db2 | https://www.awcape.co.za/ | https://www.awcape.co.za/logistics-industry/ | https://anchors.co.za/contact/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0081,Fruit & Veg City / Freshstop,Fruit & Veg City / Freshstop,,,Fruit and Veg City Freshstop (Pty) Ltd,,,South Africa,Western Cape,"Unit 15, Cornerstone Business Park, 24 London Circle, Brackengate Business Park, Brackenfell, Cape Town 7561 (HQ; servers centralised to Cape Town head office)",Retail,Food retail / convenience retail,Food retail / convenience retail,publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/fruit-veg-city-receives-boost-to-business-efficiency/nLPp6V7raglvDKQz | https://en.wikipedia.org/wiki/FreshStop | https://www.cbinsights.com/company/freshstop | https://www.dnb.com/business-directory/company-profiles.fruit_and_veg_city_freshstop_(pty)_ltd.1de9e20c1c357adc119866a6622e796b.html,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
cmp-0082,RMS Shopfitting (Pty) Ltd,RMS Shopfitting,,,RMS Shopfitting,,,South Africa,Western Cape,Cape Town,Manufacturing,Retail shopfitting / joinery manufacturing,Retail shopfitting / joinery manufacturing,publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/awcape-delivers-sage-erp-in-the-cloud-for-rms-shopfitting/DVgZey7JZD97djX9,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0083,Geiger & Klotzbucher (Pty) Ltd,Geiger & Klotzbucher,,,"Geiger and Klotzbucher (CIPC M1967005614, incorporated 26 May 1967)",,,South Africa,Western Cape,"No 1 Venus Way, Wetton / cnr Venus & Hillstar Ave, Ottery, Cape Town 7780 (HQ); branch 1 The Parade St, Bedfordview, Johannesburg",Manufacturing,Packaging equipment and materials for perishable food (BRC-certified printing/converting),Packaging equipment and materials for perishable food (BRC-certified printing/converting),publicly_known_operating,Level 1 - Very Strong,https://www.itweb.co.za/article/sage-300-manufacturing-solution-for-geiger-klotzbucher/RgeVDvPo5ZWqKJN3 | https://craft.co/geiger-klotzbucher | https://www.signalhire.com/companies/geiger-klotzbucher-pty-ltd | https://b2bhint.com/en/company/za/geiger-and-klotzbucher--M1967005614,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_1_PEOPLE
cmp-0084,Atlantis Special Economic Zone (Pty) Ltd (ASEZ / ASEZCo),Atlantis Special Economic Zone,,,State public entity under the SEZ programme (dtic),,,South Africa,Western Cape,"William Gourlay Road, Atlantis, Western Cape 7349 (delivery location); Cape Town office per ASEZ 004/2022",Government / Development,Special economic zone operator / industrial development,Special economic zone operator / industrial development,publicly_known_operating,Level 1 - Very Strong,https://www.tenderflow.co.za/tenders/annual-license-renewal-and-support-to-sage-300-and-bpm-for-s-d4392031d9a54f728013b8f444b30540/ | https://www.etenders.gov.za/home/Download/?blobName=8cb7465c-8297-4048-a22b-33da072ded2b.pdf&downloadedFileName=ASEZ+004+2022+CS+-+Outsourced+IT+Services+final.pdf,COMPANY_AND_PEOPLE_VERIFIED,MAPPED_2_PEOPLE
cmp-0085,Mason's Clothing (Mason / Mass Clothing),Mason's Clothing,,,Mason (Clothing),,,South Africa,Western Cape,Cape Town (per AWCape client base - suburb unconfirmed),Retail / Manufacturing,Value clothing retail and manufacturing,Value clothing retail and manufacturing,publicly_known_operating,Level 1 - Very Strong (product); location unconfirmed,https://www.itweb.co.za/article/e-commerce-integration-to-sage-300-for-mason/VKA3Ww7dlkO7rydZ | https://www.awcape.co.za/sage-300cloud/ | https://www.awcape.co.za/wine-industry/,COMPANY_RECORD_PRESENT,NO_VERIFIED_PEOPLE_YET
